Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,EMA_12,EMA_26,RSI,MACD,MACD_Signal,MACD_Histogram,Volatility,Bollinger_Upper,Bollinger_Lower
2021-01-01,1918.0880587146994,1930.3085472285763,1912.334751445886,1917.644163432093,42078823,,,1917.644163432093,1917.644163432093,,0.0,0.0,0.0,,,
2021-01-02,1921.0774554452057,1932.4336026004546,1920.591238480922,1924.335449133625,22564436,,,1921.268609853756,1921.118484854042,,0.15012499971408033,0.08340277761893351,0.06672222209514682,,,
2021-01-03,1923.7756011659276,1923.6188853904032,1904.1775113912106,1916.5248929160846,43566978,,,1919.4171360374362,1919.468051870912,,-0.05091583347575579,0.028354166514552654,-0.07926999999030844,,,
2021-01-04,1935.9175373628357,1943.2038538273473,1925.4928355866298,1931.8123611539588,9262637,,,1923.3298241956259,1922.9189813053258,,0.41084289030004584,0.15792351739039723,0.2529193729096486,,,
2021-01-05,1931.5315441492849,1944.8257962968783,1924.5567745186715,1931.1573983579506,9235509,,,1925.4565481199622,1924.8295041999957,,0.6270439199665816,0.29747623115056626,0.32956768881601534,,,
2021-01-06,1909.872597526937,1922.8244962677318,1909.065066959069,1913.5776802311018,18745306,,,1922.5693582780516,1922.5758536003548,,-0.006495322303180728,0.215083039673165,-0.22157836197634573,,,
2021-01-07,1934.6835954661803,1943.9535793031632,1922.6143450178288,1933.5352348081537,41487507,,,1925.0163552590695,1924.5249227362356,,0.49143252283397487,0.28501972152781024,0.20641280130616463,,,
2021-01-08,1928.1328878551535,1938.4377100772676,1918.6523990531311,1926.7117798036572,3827256,,,1925.3701642297665,1924.8772795964542,,0.4928846333123147,0.3349735687301592,0.15791106458215548,,,
2021-01-09,1929.7014615980938,1938.7671908541322,1920.3384783540387,1928.5600823599232,3830844,,,1926.0012435745848,1925.4231518143376,,0.5780917602471618,0.3911350770861544,0.1869566831610074,,,
2021-01-10,1943.5964459381516,1950.8438217539224,1932.5650176509764,1940.9669503758307,29986909,,,1928.837239197083,1927.5680447328834,,1.2691944641994723,0.5878713510770084,0.681323113122464,,,
2021-01-11,1925.2522483079247,1929.1300859692005,1919.3839156006404,1926.606396663229,35752935,,,1928.4290488028003,1927.4433186735987,,0.9857301292015563,0.6749205783910341,0.3108095508105222,,,
2021-01-12,1935.3564960774956,1942.4425469257972,1924.1760745720321,1932.7910583852665,47497986,,,1929.2045997866978,1928.100372758365,,1.1042270283328435,0.7671175994212074,0.3371094289116361,,,
2021-01-13,1938.890385063215,1940.4859940490278,1928.7908263777551,1935.515079512632,24786782,,,1930.3003387989822,1928.9690043172106,,1.3313344817715915,0.8865254943366748,0.4448089874349167,,,
2021-01-14,1935.6415986761613,1946.5352150747988,1925.311747994458,1933.9477633646718,13515395,,,1930.9213787467886,1929.5281782092895,57.15718563629093,1.3932005374990695,0.9925222914044762,0.40067824609459324,,,
2021-01-15,1925.3852654540165,1933.9546088260588,1918.6920172314537,1927.3118618473327,9996100,,,1930.3167228733569,1929.2884270685474,54.01040729772436,1.0282958048094315,0.9999379078953502,0.028357896914081304,,,
2021-01-16,1907.719743068468,1904.617882196661,1901.950007893711,1907.6941029689287,46744571,,,1926.5781565648615,1927.0294833745895,43.76537593368884,-0.4513268097280161,0.70127844791648,-1.152605257644496,,,
2021-01-17,1932.3061112759704,1944.067972536419,1920.3154391827593,1931.6776239814108,47919012,,,1927.4113752947108,1927.5013102377857,55.06333025078785,-0.08993494307492256,0.5393903743799248,-0.6293253174548473,,,
2021-01-18,1929.5611269253818,1940.1093984048302,1923.746525600236,1931.2489179053778,39742394,,,1928.0324742728412,1927.87156726812,49.79096629552432,0.16090700472113895,0.4623050547816943,-0.30139805006055537,,,
2021-01-19,1929.587170777287,1936.6864188009677,1921.328169210672,1927.0512476145032,2883591,,,1927.8749253013516,1927.792476583575,48.51566323374616,0.08244871777651497,0.38522291669793546,-0.3027741989214205,,,
2021-01-20,1935.8521447974097,1945.486270232073,1922.1827383094433,1935.7510874276127,21263172,1927.721056612167,,1929.1311097819475,1928.543034077676,58.565385537674814,0.5880757042714322,0.42626667654622485,0.16180902772520733,8.2674571891396,1944.2559709904463,1911.186142233888
2021-01-21,1932.776737600067,1923.6952091459618,1914.493915641164,1924.4116146058288,20181112,1928.0594291708537,,1928.3826141347552,1928.161136945363,46.22423127142549,0.2214771893920897,0.38492749244069246,-0.16345030304860275,7.9663265970686625,1943.9920823649911,1912.1267759767163
2021-01-22,1921.9850019383744,1930.04521811243,1914.1069749752219,1920.349948218108,41051769,1927.8601541250785,,1927.1146842103658,1927.4521119571405,47.30559329033277,-0.33742774677466514,0.23938251219691295,-0.5768102589715781,8.112883477070028,1944.0859210792185,1911.6343871709385
2021-01-23,1951.308987567599,1954.1438033544525,1933.1658006321645,1942.8652057136057,48995267,1929.177169764954,,1929.5909458477124,1928.8281896731805,55.15599474525991,0.7627561745318872,0.34467880426444547,0.4180773702674417,8.31147434676746,1945.800118458489,1912.554221071419
2021-01-24,1928.5562657955309,1930.3944774999104,1909.093311613714,1925.4352849544555,44165372,1928.8583159549792,,1928.9397975823238,1928.5298089564217,44.59754132641131,0.40998862590208773,0.35780274464816525,0.052185881253922484,8.327366500243391,1945.513048955466,1912.2035829544923
2021-01-25,1918.7436906678788,1921.9198678525192,1909.746277535439,1919.109054023624,19525405,1928.2558987382629,,1927.4037910115017,1927.7126563454474,47.237773491243786,-0.30886533394573235,0.22396349855350575,-0.5328288324992381,8.584134146965031,1945.424167032193,1911.0876304443327
