Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,RSI,MACD,Volatility
2022-01-01,992.3369490217419,998.3080273178455,986.2077373722018,992.6661969860398,4057993,,,,0.0,
2022-01-02,1005.7020534646427,1020.4070694933874,1004.21177744574,1008.397912323411,3428250,,,,0.35295515179996073,
2022-01-03,1001.9925687293785,1004.6949335985097,992.9616345328172,1000.7351402470541,6202659,,,,0.21211281677233274,
2022-01-04,1004.2842269472524,1007.2432763048869,996.2708120311931,1004.1587980725334,6873268,,,,0.26646647694849435,
2022-01-05,1002.6393834599802,1013.607409648209,995.7352879864031,1003.9633139238382,1464454,,,,0.2826128886393917,
2022-01-06,1002.8448021054626,1011.2318326501747,997.608517921809,1002.9608124359187,5337371,,,,0.24413933841458402,
2022-01-07,993.3539620526456,1000.5875264100185,991.5164076024201,994.1282806113841,7357231,,,,-0.18486791488192011,
2022-01-08,1001.5853965512057,1009.100093243586,994.3592751247967,1001.7509619035559,3714786,,,,-0.10702475498840158,
2022-01-09,996.9240266305786,1003.0617399719918,1000.4208488223758,1000.543800629387,7549058,,,,-0.1113830681199488,
2022-01-10,998.0806739584393,1003.3410407306494,995.8959675587239,998.4658317483994,6336589,,,,-0.2198890553114552,
2022-01-11,989.0542830538227,993.6205783111546,982.7117182161332,986.9327104334371,2680437,,,,-0.9096470693310721,
2022-01-12,1002.1871752636727,1007.4264709303898,1000.4758810378164,1001.44560626762,3914558,,,,-0.6057602048300623,
2022-01-13,996.1621339054501,1002.5096297810906,1000.7015021877609,998.7036817117247,2776763,,,,-0.5272401176792982,
2022-01-14,986.461287393271,992.264923666951,979.7093025817724,986.9472873868509,2069679,,,46.761689056031024,-1.1429746378400978,
2022-01-15,998.652397465287,1006.7344672893767,1000.6406251901284,1002.5256013308993,7716044,,,54.74561391820827,-0.6683053936355918,
2022-01-16,996.9148163277285,1005.8860259668988,989.5188725176183,998.5311266561444,5327811,,,44.6458736804237,-0.5419930003547506,
2022-01-17,1005.5862986450538,1013.8288297097902,1001.4743393522072,1007.1598580934148,9295021,,,53.45014858672269,0.09504907187738354,
2022-01-18,991.1553076315837,993.9503507225924,990.1500146541912,992.3824068377788,9790011,,,44.36329371360814,-0.34996280009806924,
2022-01-19,991.1214834523638,993.0617797909699,985.9562518534688,991.3535039833426,1723368,,,44.012154727596794,-0.753704868983391,
2022-01-20,1001.7353086832095,1003.3851416853063,995.4238022934367,999.1813073021979,6004377,998.6467069442466,,48.31453215007673,-0.5455425124770272,6.105827592246961
